Entry,wormbase CDS,Entry name,fragment,Status,Protein names,Gene names,Organism,Length,Taxonomic lineage (ALL),Glycosylation,Transmembrane,Cross-reference (PDB),Sequence uncertainty,Sequence conflict,Sequence caution,Disulfide bond,Cross-reference (Pfam),Cross-reference (GeneID),Cross-reference (UniGene),Cross-reference (RefSeq),Cross-reference (GenBank),Cross-reference (WormBase)
Q9U3H8,F26F2.7,TAPT1_CAEEL,Err:504,reviewed,Protein TAPT1 homolog,F26F2.7,Caenorhabditis elegans,712,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 196 216 Helical. {ECO:0000255}.; TRANSMEM 222 242 Helical. {ECO:0000255}.; TRANSMEM 305 325 Helical. {ECO:0000255}.; TRANSMEM 379 399 Helical. {ECO:0000255}.; TRANSMEM 402 422 Helical. {ECO:0000255}.; TRANSMEM 470 490 Helical. {ECO:0000255}.; TRANSMEM 497 517 Helical. {ECO:0000255}.,,,,,,PF05346;,180347;,Cel.3865;,NP_507972.1;,,F26F2.7;
Q9U280,Y49E10.11a,TAT1_CAEEL,Err:504,reviewed,Phospholipid-transporting ATPase tat-1 (EC 3.6.3.1),tat-1 Y49E10.11,Caenorhabditis elegans,1139,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 78 98 Helical. {ECO:0000255}.; TRANSMEM 276 296 Helical. {ECO:0000255}.; TRANSMEM 318 338 Helical. {ECO:0000255}.; TRANSMEM 831 851 Helical. {ECO:0000255}.; TRANSMEM 855 875 Helical. {ECO:0000255}.; TRANSMEM 901 921 Helical. {ECO:0000255}.; TRANSMEM 935 955 Helical. {ECO:0000255}.; TRANSMEM 972 992 Helical. {ECO:0000255}.; TRANSMEM 1013 1033 Helical. {ECO:0000255}.,,,,,,PF00122;,176666;,Cel.17289;,NP_001022894.1;NP_001022895.1;NP_001255165.1;,,Y49E10.11a;Y49E10.11b;Y49E10.11c;
Q9N5Y2,C15F1.6,TECR_CAEEL,Err:504,reviewed,Probable very-long-chain enoyl-CoA reductase art-1 (EC 1.3.1.93),art-1 C15F1.6,Caenorhabditis elegans,308,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 112 132 Helical. {ECO:0000255}.; TRANSMEM 169 189 Helical. {ECO:0000255}.; TRANSMEM 194 214 Helical. {ECO:0000255}.; TRANSMEM 255 275 Helical. {ECO:0000255}.,,,,,,PF02544;PF00240;,174140;,Cel.5063;,NP_495430.1;,,C15F1.6;
Q17678,C05G5.5a,TIKI1_CAEEL,Err:504,reviewed,Metalloprotease TIKI homolog (EC 3.4.-.-),C05G5.5,Caenorhabditis elegans,420,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",CARBOHYD 247 247 N-linked (GlcNAc...). {ECO:0000255}.,TRANSMEM 401 419 Helical. {ECO:0000255}.,,,,,,PF01963;,181571;,Cel.20184;,NP_001257247.1;NP_001257248.1;NP_001257249.1;,,C05G5.5a;C05G5.5b;C05G5.5c;
P91454,T19B4.4,TIM14_CAEEL,Err:504,reviewed,Mitochondrial import inner membrane translocase subunit TIM14 (DnaJ homolog subfamily C member 21),dnj-21 tim-14 T19B4.4,Caenorhabditis elegans,112,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 4 24 Helical. {ECO:0000255}.,,,,,,PF00226;,172231;,Cel.16739;,NP_491662.1;,,T19B4.4;
O44477,E04A4.5,TIM17_CAEEL,Err:504,reviewed,Probable mitochondrial import inner membrane translocase subunit Tim17,tim-17 E04A4.5,Caenorhabditis elegans,181,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 17 37 Helical. {ECO:0000255}.; TRANSMEM 61 81 Helical. {ECO:0000255}.; TRANSMEM 109 129 Helical. {ECO:0000255}.,,,,,,PF02466;,177242;,Cel.6756;,NP_500627.1;,,E04A4.5;
Q9NAQ9,C47G2.3,TIM22_CAEEL,Err:504,reviewed,Mitochondrial import inner membrane translocase subunit tim-22,tim-22 C47G2.3,Caenorhabditis elegans,213,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 92 112 Helical. {ECO:0000255}.; TRANSMEM 143 161 Helical. {ECO:0000255}.; TRANSMEM 188 208 Helical. {ECO:0000255}.,,,,,,PF02466;,174722;,Cel.6504;,NP_496412.1;,,C47G2.3;
Q22647,T21C9.12,TIM50_CAEEL,Err:504,reviewed,Mitochondrial import inner membrane translocase subunit TIM50 (Small C-terminal domain Phosphatase protein 4),scpl-4 tim-50 T21C9.12,Caenorhabditis elegans,452,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 168 188 Helical. {ECO:0000255}.,,,,,,PF03031;,179481;,Cel.7629;,NP_505722.1;,,T21C9.12;
Q03566,C38C10.1,TKR1_CAEEL,Err:504,reviewed,Probable G-protein coupled receptor tkr-1 (Tachykinin receptor family protein 1),tkr-1 C38C10.1,Caenorhabditis elegans,406,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 48 68 Helical; Name=1. {ECO:0000255}.; TRANSMEM 77 97 Helical; Name=2. {ECO:0000255}.; TRANSMEM 116 136 Helical; Name=3. {ECO:0000255}.; TRANSMEM 159 179 Helical; Name=4. {ECO:0000255}.; TRANSMEM 205 225 Helical; Name=5. {ECO:0000255}.; TRANSMEM 262 282 Helical; Name=6. {ECO:0000255}.; TRANSMEM 298 318 Helical; Name=7. {ECO:0000255}.,,,,,,PF00001;,192055;,Cel.36418;,NP_499064.2;,,C38C10.1;
Q17598,C03A3.2,TM104_CAEEL,Err:504,reviewed,Transmembrane protein 104 homolog,C03A3.2,Caenorhabditis elegans,492,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",CARBOHYD 151 151 N-linked (GlcNAc...). {ECO:0000269|PubMed:17761667}.; CARBOHYD 313 313 N-linked (GlcNAc...). {ECO:0000255}.,TRANSMEM 18 38 Helical. {ECO:0000255}.; TRANSMEM 45 65 Helical. {ECO:0000255}.; TRANSMEM 114 134 Helical. {ECO:0000255}.; TRANSMEM 177 197 Helical. {ECO:0000255}.; TRANSMEM 210 230 Helical. {ECO:0000255}.; TRANSMEM 238 258 Helical. {ECO:0000255}.; TRANSMEM 275 295 Helical. {ECO:0000255}.; TRANSMEM 325 345 Helical. {ECO:0000255}.; TRANSMEM 393 413 Helical. {ECO:0000255}.; TRANSMEM 416 436 Helical. {ECO:0000255}.; TRANSMEM 467 487 Helical. {ECO:0000255}.,,,,,,PF01490;,181315;,Cel.5092;,NP_509879.2;,,C03A3.2;
Q10000,R144.6,TM144_CAEEL,Err:504,reviewed,Transmembrane protein 144 homolog,R144.6,Caenorhabditis elegans,345,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 3 23 Helical. {ECO:0000255}.; TRANSMEM 32 52 Helical. {ECO:0000255}.; TRANSMEM 61 81 Helical. {ECO:0000255}.; TRANSMEM 84 104 Helical. {ECO:0000255}.; TRANSMEM 120 140 Helical. {ECO:0000255}.; TRANSMEM 193 213 Helical. {ECO:0000255}.; TRANSMEM 233 253 Helical. {ECO:0000255}.; TRANSMEM 265 285 Helical. {ECO:0000255}.; TRANSMEM 293 313 Helical. {ECO:0000255}.; TRANSMEM 324 344 Helical. {ECO:0000255}.,,,,,,PF07857;,175678;,Cel.10159;,NP_498062.2;,,R144.6;
Q23387,ZK1067.4,TM151_CAEEL,Err:504,reviewed,Transmembrane protein 151 homolog,ZK1067.4,Caenorhabditis elegans,541,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 27 47 Helical. {ECO:0000255}.; TRANSMEM 73 93 Helical. {ECO:0000255}.; TRANSMEM 254 274 Helical. {ECO:0000255}.,,,,,,PF14857;,191517;,Cel.8531;,NP_495963.2;,,ZK1067.4;
Q20687,F53A9.4,TM237_CAEEL,Err:504,reviewed,Transmembrane protein 237 homolog (Joubert syndrome 14 protein homolog),jbts-14 tmem-237 F53A9.4,Caenorhabditis elegans,399,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 222 242 Helical. {ECO:0000255}.; TRANSMEM 256 276 Helical. {ECO:0000255}.; TRANSMEM 301 321 Helical. {ECO:0000255}.; TRANSMEM 343 363 Helical. {ECO:0000255}.,,,,,,PF15383;,181116;,Cel.19845;,NP_509471.2;,,F53A9.4;
Q965T1,Y57E12AM.1,TM258_CAEEL,Err:504,reviewed,Transmembrane protein 258 homolog,Y57E12AM.1,Caenorhabditis elegans,79,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 19 39 Helical. {ECO:0000255}.; TRANSMEM 55 75 Helical. {ECO:0000255}.,,,,,,PF05251;,179094;,Cel.1634;,NP_504794.1;,,Y57E12AM.1;
Q95QZ5,C41D11.9,TM2D2_CAEEL,Err:504,reviewed,TM2 domain-containing protein C41D11.9,C41D11.9,Caenorhabditis elegans,195,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",CARBOHYD 55 55 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 93 93 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 127 127 N-linked (GlcNAc...). {ECO:0000255}.,TRANSMEM 137 157 Helical. {ECO:0000255}.; TRANSMEM 164 184 Helical. {ECO:0000255}.,,,,,,PF05154;,266651;,Cel.25445;,NP_491372.1;,,C41D11.9;
P61228,C02F5.13,TM2D1_CAEEL,Err:504,reviewed,TM2 domain-containing protein C02F5.13,C02F5.13,Caenorhabditis elegans,210,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",CARBOHYD 14 14 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 91 91 N-linked (GlcNAc...). {ECO:0000269|PubMed:17761667}.,TRANSMEM 139 159 Helical. {ECO:0000255}.; TRANSMEM 179 199 Helical. {ECO:0000255}.,,,,,,PF05154;,3565859;,Cel.31156;,NP_001021138.1;,,C02F5.13;
Q95PJ8,Y66D12A.21,TM2D3_CAEEL,Err:504,reviewed,TM2 domain-containing protein Y66D12A.21,Y66D12A.21,Caenorhabditis elegans,179,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",CARBOHYD 75 75 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 169 169 N-linked (GlcNAc...). {ECO:0000255}.,TRANSMEM 98 118 Helical. {ECO:0000255}.; TRANSMEM 123 143 Helical. {ECO:0000255}.,,,,,,PF05154;,176581;,Cel.106;,NP_499481.2;,,Y66D12A.21;
Q94421,ZK858.5,TM2D4_CAEEL,Err:504,reviewed,TM2 domain-containing protein ZK858.5,ZK858.5,Caenorhabditis elegans,409,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",CARBOHYD 69 69 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 195 195 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 294 294 N-linked (GlcNAc...). {ECO:0000255}.,TRANSMEM 37 57 Helical. {ECO:0000255}.; TRANSMEM 104 124 Helical. {ECO:0000255}.; TRANSMEM 127 147 Helical. {ECO:0000255}.; TRANSMEM 174 194 Helical. {ECO:0000255}.; TRANSMEM 209 229 Helical. {ECO:0000255}.,,,,,,PF05154;,172738;,Cel.38813;,NP_492450.2;,,ZK858.5;
O62126,D2013.10,TM41_CAEEL,Err:504,reviewed,Transmembrane protein 41 homolog,tag-175 D2013.10,Caenorhabditis elegans,246,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 12 32 Helical. {ECO:0000255}.; TRANSMEM 68 88 Helical. {ECO:0000255}.; TRANSMEM 101 123 Helical. {ECO:0000255}.; TRANSMEM 159 179 Helical. {ECO:0000255}.; TRANSMEM 182 202 Helical. {ECO:0000255}.; TRANSMEM 219 239 Helical. {ECO:0000255}.,,,,,,,183942;,Cel.15582;,NP_495985.1;,,D2013.10;
Q11080,B0563.4,TMBI4_CAEEL,Err:504,reviewed,Transmembrane BAX inhibitor motif-containing protein 4,tmbi-4 B0563.4/B0563.3,Caenorhabditis elegans,276,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 78 98 Helical. {ECO:0000255}.; TRANSMEM 110 130 Helical. {ECO:0000255}.; TRANSMEM 136 158 Helical. {ECO:0000255}.; TRANSMEM 163 182 Helical. {ECO:0000255}.; TRANSMEM 189 211 Helical. {ECO:0000255}.; TRANSMEM 216 235 Helical. {ECO:0000255}.,,,,,,PF01027;,181150;,Cel.7583;,NP_509543.2;,,B0563.4;
D3KZG3,T13G4.3,TMC1_CAEEL,Err:504,reviewed,Transmembrane channel-like protein 1,tmc-1 T13G4.3,Caenorhabditis elegans,1285,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 176 196 Helical. {ECO:0000255}.; TRANSMEM 262 282 Helical. {ECO:0000255}.; TRANSMEM 357 377 Helical. {ECO:0000255}.; TRANSMEM 428 448 Helical. {ECO:0000255}.; TRANSMEM 676 696 Helical. {ECO:0000255}.; TRANSMEM 739 759 Helical. {ECO:0000255}.; TRANSMEM 787 807 Helical. {ECO:0000255}.; TRANSMEM 852 872 Helical. {ECO:0000255}.,,,,,,PF07810;,188483;,Cel.364;,NP_508221.3;,,T13G4.3;
Q11069,B0416.1,TMC2_CAEEL,Err:504,reviewed,Transmembrane channel-like protein 2,tmc-2 B0416.1,Caenorhabditis elegans,1203,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",CARBOHYD 225 225 N-linked (GlcNAc...). {ECO:0000269|PubMed:17761667}.; CARBOHYD 748 748 N-linked (GlcNAc...). {ECO:0000269|PubMed:17761667}.,TRANSMEM 191 213 Helical. {ECO:0000255}.; TRANSMEM 276 298 Helical. {ECO:0000255}.; TRANSMEM 369 391 Helical. {ECO:0000255}.; TRANSMEM 406 428 Helical. {ECO:0000255}.; TRANSMEM 441 463 Helical. {ECO:0000255}.; TRANSMEM 665 687 Helical. {ECO:0000255}.; TRANSMEM 714 736 Helical. {ECO:0000255}.; TRANSMEM 780 802 Helical. {ECO:0000255}.,,,,,,PF07810;,181161;,Cel.5124;,NP_509569.1;,,B0416.1;
Q20035,F35D11.3,TMCO4_CAEEL,Err:504,reviewed,Uncharacterized membrane protein F35D11.3,F35D11.3,Caenorhabditis elegans,617,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 219 239 Helical. {ECO:0000255}.; TRANSMEM 262 282 Helical. {ECO:0000255}.; TRANSMEM 427 447 Helical. {ECO:0000255}.,,,,,,PF05277;,173798;,Cel.17123;,NP_494812.2;,,F35D11.3;
O17528,W02D7.7,TMED2_CAEEL,Err:504,reviewed,Suppressor/enhancer of lin-12 protein 9,sel-9 W02D7.7,Caenorhabditis elegans,203,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 171 191 Helical. {ECO:0000255}.,,,,,,PF01105;,179213;,Cel.2744;,NP_505145.1;,,W02D7.7;
Q9XWV0,Y37D8A.17,TMM33_CAEEL,Err:504,reviewed,Transmembrane protein 33 homolog,Y37D8A.17,Caenorhabditis elegans,271,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 56 76 Helical. {ECO:0000255}.; TRANSMEM 125 145 Helical. {ECO:0000255}.; TRANSMEM 180 200 Helical. {ECO:0000255}.,,,,,,PF03661;,189617;,Cel.9867;,NP_499684.1;,,Y37D8A.17;
Q20144,F38B6.6,TMTC1_CAEEL,Err:504,reviewed,Transmembrane and TPR repeat-containing protein F38B6.6,F38B6.6,Caenorhabditis elegans,690,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",CARBOHYD 166 166 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 559 559 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 600 600 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 617 617 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 686 686 N-linked (GlcNAc...). {ECO:0000255}.,TRANSMEM 33 53 Helical. {ECO:0000255}.; TRANSMEM 111 131 Helical. {ECO:0000255}.; TRANSMEM 139 159 Helical. {ECO:0000255}.; TRANSMEM 167 187 Helical. {ECO:0000255}.; TRANSMEM 235 255 Helical. {ECO:0000255}.; TRANSMEM 274 294 Helical. {ECO:0000255}.; TRANSMEM 308 328 Helical. {ECO:0000255}.; TRANSMEM 342 362 Helical. {ECO:0000255}.; TRANSMEM 366 386 Helical. {ECO:0000255}.,,,,,,PF08409;PF00515;PF07719;PF13176;,185454;,Cel.8064;,NP_509123.2;,,F38B6.6;
Q18484,C35D10.10,TMX2_CAEEL,Err:504,reviewed,Thioredoxin-related transmembrane protein 2 homolog (Thioredoxin domain-containing protein 14 homolog),C35D10.10,Caenorhabditis elegans,265,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 97 117 Helical. {ECO:0000255}.,,,,,,PF00085;,175646;,Cel.23355;,NP_498012.1;,,C35D10.10;
Q19766,F23H12.2,TOM20_CAEEL,Err:504,reviewed,Mitochondrial import receptor subunit TOM20 homolog (Mitochondrial 20 kDa outer membrane protein) (Outer mitochondrial membrane receptor TOM20) (Translocase of outer mitochondrial membrane protein 20),tomm-20 F23H12.2,Caenorhabditis elegans,188,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 13 31 Helical. {ECO:0000255}.,,,,,,PF02064;,179691;,Cel.3921;,NP_506092.1;,,F23H12.2;
P34660,ZK652.2,TOM7_CAEEL,Err:504,reviewed,Mitochondrial import receptor subunit TOM7 homolog (Translocase of outer membrane 7 kDa subunit homolog),tomm-7 ZK652.2,Caenorhabditis elegans,58,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 17 35 Helical. {ECO:0000255}.,,,,,,PF08038;,176101;,Cel.18049;,NP_498706.1;,,ZK652.2;
Q18936,D1046.5a,TPRA1_CAEEL,Err:504,reviewed,Transmembrane protein adipocyte-associated 1 homolog,tpra-1 D1046.5,Caenorhabditis elegans,458,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",CARBOHYD 21 21 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 45 45 N-linked (GlcNAc...). {ECO:0000269|PubMed:17761667}.; CARBOHYD 323 323 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 324 324 N-linked (GlcNAc...). {ECO:0000255}.,TRANSMEM 81 101 Helical. {ECO:0000255}.; TRANSMEM 114 134 Helical. {ECO:0000255}.; TRANSMEM 152 172 Helical. {ECO:0000255}.; TRANSMEM 181 201 Helical. {ECO:0000255}.; TRANSMEM 225 245 Helical. {ECO:0000255}.; TRANSMEM 263 283 Helical. {ECO:0000255}.; TRANSMEM 291 311 Helical. {ECO:0000255}.,,,,,,PF10160;,259586;,Cel.13220;,NP_001255357.1;NP_001255358.1;,,D1046.5a;D1046.5b;
O77081,Y111B2A.15,TPSTA_CAEEL,Err:504,reviewed,Protein-tyrosine sulfotransferase A (EC 2.8.2.20) (Tyrosylprotein sulfotransferase A) (TPST-A),tpst-1 Y111B2A.15,Caenorhabditis elegans,380,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",CARBOHYD 66 66 N-linked (GlcNAc...). {ECO:0000269|PubMed:17761667}.,TRANSMEM 7 27 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.,,,,,DISULFID 97 157 {ECO:0000250}.; DISULFID 226 234 {ECO:0000250}.,,176684;,Cel.19647;,NP_499646.3;,,Y111B2A.15;
Q18297,C29E6.2a,TRPA1_CAEEL,Err:504,reviewed,Transient receptor potential cation channel subfamily A member 1 homolog,trpa-1 C29E6.2,Caenorhabditis elegans,1211,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",CARBOHYD 856 856 N-linked (GlcNAc...). {ECO:0000255}.; CARBOHYD 863 863 N-linked (GlcNAc...). {ECO:0000255}.,TRANSMEM 812 832 Helical; Name=1. {ECO:0000255}.; TRANSMEM 871 891 Helical; Name=2. {ECO:0000255}.; TRANSMEM 895 915 Helical; Name=3. {ECO:0000255}.; TRANSMEM 933 953 Helical; Name=4. {ECO:0000255}.; TRANSMEM 976 996 Helical; Name=5. {ECO:0000255}.; TRANSMEM 1049 1069 Helical; Name=6. {ECO:0000255}.,,,,,,PF00023;PF12796;PF00520;,178118;,Cel.5648;,NP_502249.3;,,C29E6.2a;
Q93971,T01H8.5a,TRPG_CAEEL,Err:504,reviewed,Transient receptor potential channel (Abnormal gonad development protein 2),gon-2 T01H8.5/T01H8.3/T01H8.4,Caenorhabditis elegans,2032,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 1310 1330 Helical. {ECO:0000255}.; TRANSMEM 1332 1352 Helical. {ECO:0000255}.; TRANSMEM 1374 1394 Helical. {ECO:0000255}.; TRANSMEM 1439 1459 Helical. {ECO:0000255}.; TRANSMEM 1535 1555 Helical. {ECO:0000255}.,,,,,,PF00520;,172646;,Cel.19771;,NP_492315.4;,,T01H8.5a;
